sname_0,name_1,mother_2,birthday_3,birthmonth_4,birthdate_5,matgroup_6,currentgroup_7,sex_8,birthyear_9,mom_10,dad_11,father_12,conceptiondate_13,concepday_14,conceptmonth_15,conceptyear_16,momgrp_17,dadgrp_18
SKI,SKINNY  ,unknown ,9,APR,09/04/1961,Alto's   ,unknown  ,Female  ,1961,unknown,unknown, ------,unknown,DD,MMM,YYYY,unknown,unknown
FLU,FLUFF   ,unknown ,10,APR,10/04/1961,Alto's   ,unknown  ,Female  ,1961,unknown,unknown, ------,unknown,DD,MMM,YYYY,unknown,unknown
CRE,CREST   ,unknown ,30,APR,30/04/1961,immigrant,unknown  ,Male    ,1961,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
TWI,TWISTY  ,unknown ,23,OCT,23/10/1961,Alto's   ,unknown  ,Female  ,1961,unknown,unknown, ------,unknown,DD,MMM,YYYY,unknown,unknown
MOM,MOM     ,unknown ,5,MAR,05/03/1962,Alto's   ,unknown  ,Female  ,1962,unknown,unknown, ------,unknown,DD,MMM,YYYY,unknown,unknown
PRE,PREG    ,unknown ,31,MAR,31/03/1962,Alto's   ,unknown  ,Female  ,1962,unknown,unknown, ------,unknown,DD,MMM,YYYY,unknown,unknown
HIT,HITAIL  ,unknown ,11,APR,11/04/1962,immigrant,unknown  ,Male    ,1962,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
TTX,TT      ,unknown ,14,SEP,14/09/1962,Alto's   ,unknown  ,Female  ,1962,unknown,unknown, ------,unknown,DD,MMM,YYYY,unknown,unknown
OVA,OVAL    ,unknown ,19,DEC,19/12/1962,Alto's   ,unknown  ,Female  ,1962,unknown,unknown, ------,unknown,DD,MMM,YYYY,unknown,unknown
LUL,LULU    ,unknown ,1,JAN,01/01/1963,Alto's   ,unknown  ,Female  ,1963,unknown,unknown, ------,unknown,DD,MMM,YYYY,unknown,unknown
CHI,CHIP    ,unknown ,10,FEB,10/02/1963,immigrant,unknown  ,Male    ,1963,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
SLK,SLIM    ,unknown ,16,NOV,16/11/1963,immigrant,unknown  ,Male    ,1963,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
JUD,JUDY    ,unknown ,29,NOV,29/11/1963,Alto's   ,unknown  ,Female  ,1963,unknown,unknown, ------,unknown,DD,MMM,YYYY,unknown,unknown
SCA,SCAR    ,unknown ,1,NOV,01/11/1965,Alto's   ,unknown  ,Female  ,1965,unknown,unknown, ------,unknown,DD,MMM,YYYY,unknown,unknown
BEN,BEN     ,unknown ,1,JAN,01/01/1966,Alto's   ,unknown  ,Male    ,1966,unknown,unknown, ------,unknown,DD,MMM,YYYY,unknown,unknown
ZUM,ZUMA    ,unknown ,1,JAN,01/01/1966,Lodge    ,unknown  ,Female  ,1966,unknown,unknown, ------,unknown,DD,MMM,YYYY,unknown,unknown
LIS,LISTA   ,unknown ,26,JUN,26/06/1966,Hook's   ,unknown  ,Female  ,1966,unknown,unknown, ------,unknown,DD,MMM,YYYY,2,unknown
EVE,EVEN    ,unknown ,1,JUL,01/07/1966,Alto's   ,unknown  ,Male    ,1966,unknown,unknown, ------,unknown,DD,MMM,YYYY,unknown,unknown
NEW,NEW     ,unknown ,1,JUL,01/07/1966,Alto's   ,unknown  ,Female  ,1966,unknown,unknown, ------,unknown,DD,MMM,YYYY,unknown,unknown
BAR,BARON   ,unknown ,2,JUL,02/07/1966,immigrant,unknown  ,Male    ,1966,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
LIP,LIP     ,unknown ,2,JUL,02/07/1966,immigrant,unknown  ,Male    ,1966,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
SEK,SEKA    ,unknown ,2,JUL,02/07/1966,immigrant,unknown  ,Male    ,1966,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
WLK,WARLOCK ,unknown ,20,JUL,20/07/1966,immigrant,unknown  ,Male    ,1966,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
RUK,RUKA    ,unknown ,26,AUG,26/08/1966,Hook's   ,unknown  ,Female  ,1966,unknown,unknown, ------,unknown,DD,MMM,YYYY,2,unknown
ETA,ETA     ,unknown ,14,SEP,14/09/1966,Hook's   ,unknown  ,Female  ,1966,unknown,unknown, ------,unknown,DD,MMM,YYYY,2,unknown
NUB,NUBBIN  ,unknown ,17,NOV,17/11/1966,Hook's   ,unknown  ,Female  ,1966,unknown,unknown, ------,unknown,DD,MMM,YYYY,2,unknown
BLA,BLACKY  ,unknown ,14,DEC,14/12/1966,immigrant,unknown  ,Male    ,1966,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
NEC,NECK    ,unknown ,14,DEC,14/12/1966,immigrant,unknown  ,Male    ,1966,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
RED,RED     ,unknown ,1,JUL,01/07/1967,Alto's   ,unknown  ,Male    ,1967,unknown,unknown, ------,unknown,DD,MMM,YYYY,unknown,unknown
RUS,RUSS    ,unknown ,1,JUL,01/07/1967,Alto's   ,unknown  ,Male    ,1967,unknown,unknown, ------,unknown,DD,MMM,YYYY,unknown,unknown
STI,STIFF   ,unknown ,1,JUL,01/07/1967,Alto's   ,unknown  ,Male    ,1967,unknown,unknown, ------,unknown,DD,MMM,YYYY,unknown,unknown
STU,STU     ,unknown ,1,JUL,01/07/1967,Alto's   ,unknown  ,Male    ,1967,unknown,unknown, ------,unknown,DD,MMM,YYYY,unknown,unknown
XEN,XENOS   ,unknown ,21,NOV,21/11/1967,immigrant,unknown  ,Male    ,1967,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
ALY,ALY     ,unknown ,1,JAN,01/01/1968,immigrant,unknown  ,Male    ,1968,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
HAR,HARVEY  ,unknown ,1,JAN,01/01/1968,immigrant,unknown  ,Male    ,1968,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
SLI,SLIK    ,unknown ,1,JAN,01/01/1968,immigrant,unknown  ,Male    ,1968,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
KUP,KUPITA  ,unknown ,18,JUN,18/06/1968,Hook's   ,unknown  ,Female  ,1968,unknown,unknown, ------,unknown,DD,MMM,YYYY,2,unknown
PIN,PINDUA  ,unknown ,26,JUN,26/06/1968,Hook's   ,unknown  ,Female  ,1968,unknown,unknown, ------,unknown,DD,MMM,YYYY,2,unknown
FEM,FEM     ,Ringo   ,1,JUL,01/07/1968,Alto's   ,unknown  ,Female  ,1968,RIN,unknown, ------,05/01/1968,5,JAN,1968,1,unknown
A21,A21     ,unknown ,1,JUL,01/07/1968,Alto's   ,unknown  ,Male    ,1968,unknown,unknown, ------,unknown,DD,MMM,YYYY,unknown,unknown
IBI,IBIS    ,unknown ,5,JUL,05/07/1968,immigrant,unknown  ,Male    ,1968,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
PLU,PLUM    ,unknown ,1,AUG,01/08/1968,Alto's   ,unknown  ,Female  ,1968,unknown,unknown, ------,unknown,DD,MMM,YYYY,unknown,unknown
SLM,SLINKY  ,unknown ,1,AUG,01/08/1968,Alto's   ,unknown  ,Female  ,1968,unknown,unknown, ------,unknown,DD,MMM,YYYY,unknown,unknown
MWA,MWANGI  ,unknown ,14,AUG,14/08/1968,immigrant,unknown  ,Male    ,1968,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
LOI,LOIS    ,unknown ,4,SEP,04/09/1968,Hook's   ,unknown  ,Female  ,1968,unknown,unknown, ------,unknown,DD,MMM,YYYY,2,unknown
BRU,BRUSH   ,unknown ,10,FEB,10/02/1969,Alto's   ,unknown  ,Female  ,1969,unknown,unknown, ------,unknown,DD,MMM,YYYY,unknown,unknown
KUS,KUSH    ,unknown ,21,AUG,21/08/1969,Stud's   ,unknown  ,Male    ,1969,unknown,unknown, ------,unknown,DD,MMM,YYYY,unknown,unknown
HAN,HANDLE  ,unknown ,27,AUG,27/08/1969,Alto's   ,unknown  ,Female  ,1969,unknown,unknown, ------,unknown,DD,MMM,YYYY,unknown,unknown
WO5,WO5     ,unknown ,5,DEC,05/12/1969,immigrant,unknown  ,Male    ,1969,WON,unknown, ------,DDMMYYYY,20,APR,2013,2.12,unknown
BOB,BOB     ,unknown ,1,JAN,01/01/1970,Alto's   ,unknown  ,Male    ,1970,unknown,unknown, ------,unknown,DD,MMM,YYYY,unknown,unknown
SWE,SWAT    ,unknown ,1,JAN,01/01/1970,Alto's   ,unknown  ,Male    ,1970,unknown,unknown, ------,unknown,DD,MMM,YYYY,unknown,unknown
OME,OMEN    ,unknown ,1,JAN,01/01/1970,immigrant,unknown  ,Male    ,1970,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
GIN,GIN     ,Ringo   ,8,FEB,08/02/1970,Alto's   ,unknown  ,Female  ,1970,RIN,unknown, ------,14/08/1969,14,AUG,1969,1,unknown
GRU,GRUB    ,Jane    ,1,JUL,01/07/1970,Alto's   ,unknown  ,Male    ,1970,JAN,unknown, ------,04/01/1970,4,JAN,1970,1,unknown
TOT,TOTO    ,Este    ,1,JUL,01/07/1970,Alto's   ,unknown  ,Male    ,1970,EST,unknown, ------,04/01/1970,4,JAN,1970,1,unknown
TET,TETA    ,unknown ,1,JUL,01/07/1970,immigrant,unknown  ,Male    ,1970,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
MAJ,MAJOR   ,Skinny  ,16,AUG,16/08/1970,Alto's   ,unknown  ,Female  ,1970,SKI,unknown, ------,19/02/1970,19,FEB,1970,1,unknown
SPO,SPOT    ,Alto    ,16,AUG,16/08/1970,Alto's   ,unknown  ,Female  ,1970,ALT,unknown, ------,19/02/1970,19,FEB,1970,1,unknown
VEE,VEE     ,Fluff   ,16,AUG,16/08/1970,Alto's   ,unknown  ,Female  ,1970,FLU,unknown, ------,19/02/1970,19,FEB,1970,1,unknown
NOG,NOG     ,unknown ,1,JAN,01/01/1971,immigrant,unknown  ,Male    ,1971,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
DIN,DINA    ,unknown ,19,FEB,19/02/1971,Olkenya  ,unknown  ,Female  ,1971,unknown,unknown, ------,unknown,DD,MMM,YYYY,unknown,unknown
LOT,LOTU    ,unknown ,19,FEB,19/02/1971,Olkenya  ,unknown  ,Female  ,1971,unknown,unknown, ------,unknown,DD,MMM,YYYY,unknown,unknown
SOI,SOIT    ,unknown ,19,FEB,19/02/1971,Olkenya  ,unknown  ,Female  ,1971,unknown,unknown, ------,unknown,DD,MMM,YYYY,unknown,unknown
TWT,TWITI   ,unknown ,19,FEB,19/02/1971,Olkenya  ,unknown  ,Female  ,1971,unknown,unknown, ------,unknown,DD,MMM,YYYY,unknown,unknown
YON,YONDA   ,unknown ,19,FEB,19/02/1971,Olkenya  ,unknown  ,Female  ,1971,unknown,unknown, ------,unknown,DD,MMM,YYYY,unknown,unknown
HER,HERM    ,Twisty  ,1,MAR,01/03/1971,Alto's   ,unknown  ,Male    ,1971,TWI,unknown, ------,04/09/1970,4,SEP,1970,1,unknown
KUB,KUB     ,Mom     ,11,JUL,11/07/1971,Alto's   ,unknown  ,Male    ,1971,MOM,unknown, ------,14/01/1971,14,JAN,1971,1,unknown
DOG,DOGO    ,Preg    ,6,AUG,06/08/1971,Alto's   ,unknown  ,Male    ,1971,PRE,unknown, ------,09/02/1971,9,FEB,1971,1,unknown
NGU,NGULE   ,unknown ,20,AUG,20/08/1971,immigrant,unknown  ,Male    ,1971,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
TUL,TULAL   ,unknown ,20,AUG,20/08/1971,immigrant,unknown  ,Male    ,1971,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
DIX,DIXON   ,unknown ,21,AUG,21/08/1971,immigrant,unknown  ,Male    ,1971,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
LER,LEROY   ,unknown ,12,SEP,12/09/1971,immigrant,unknown  ,Male    ,1971,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
BOR,BOR     ,unknown ,1,JAN,01/01/1972,immigrant,unknown  ,Male    ,1972,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
DOR,DORUS   ,unknown ,1,JAN,01/01/1972,immigrant,unknown  ,Male    ,1972,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
BEL,BELLE   ,Ttx     ,20,JAN,20/01/1972,Alto's   ,unknown  ,Female  ,1972,TTX,unknown, ------,01/08/1971,1,AUG,1971,1,unknown
MIN,MINDY   ,Scar    ,1,FEB,01/02/1972,Alto's   ,unknown  ,Female  ,1972,SCA,unknown, ------,04/08/1971,4,AUG,1971,1,unknown
BAL,BALTHAZAR,Ringo   ,22,APR,22/04/1972,Alto's   ,unknown  ,Male    ,1972,RIN,unknown, ------,07/11/1971,7,NOV,1971,1,unknown
E22,E22     ,Este    ,17,JUN,17/06/1972,Alto's   ,unknown  ,unknown ,1972,EST,unknown, ------,05/01/1972,5,JAN,1972,1,unknown
CLA,CLEA    ,Fluff   ,19,JUN,19/06/1972,Alto's   ,unknown  ,Female  ,1972,FLU,unknown, ------,23/12/1971,23,DEC,1971,1,unknown
BON,BONK    ,unknown ,1,JUL,01/07/1972,immigrant,unknown  ,Male    ,1972,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
KOJ,KOJAK   ,unknown ,1,JUL,01/07/1972,immigrant,unknown  ,Male    ,1972,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
KON,KONG    ,unknown ,1,JUL,01/07/1972,immigrant,unknown  ,Male    ,1972,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
RAY,RAYMOND ,unknown ,1,SEP,01/09/1972,Hook's   ,unknown  ,Male    ,1972,unknown,unknown, ------,unknown,DD,MMM,YYYY,2,unknown
PIG,PIGTAIL ,unknown ,13,OCT,13/10/1972,immigrant,unknown  ,Male    ,1972,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
J22,J22     ,Jane    ,17,DEC,17/12/1972,Alto's   ,unknown  ,unknown ,1972,JAN,unknown, ------,15/07/1972,15,JUL,1972,1,unknown
DAR,DARWIN  ,unknown ,1,JAN,01/01/1973,immigrant,unknown  ,Male    ,1973,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
JNT,JANET   ,Judy    ,5,APR,05/04/1973,Alto's   ,unknown  ,Female  ,1973,JUD,unknown, ------,10/10/1972,10,OCT,1972,1,unknown
DOT,DOTTY   ,Alto    ,21,JUN,21/06/1973,Alto's   ,unknown  ,Female  ,1973,ALT,unknown, ------,23/12/1972,23,DEC,1972,1,unknown
FAN,FANNY   ,Oval    ,21,JUN,21/06/1973,Alto's   ,unknown  ,Female  ,1973,OVA,unknown, ------,27/12/1972,27,DEC,1972,1,unknown
STR,STRIPER ,Mom     ,5,JUL,05/07/1973,Alto's   ,unknown  ,Female  ,1973,MOM,unknown, ------,09/01/1973,9,JAN,1973,1,unknown
EDX,ED      ,Este    ,17,JUL,17/07/1973,Alto's   ,unknown  ,Male    ,1973,EST,unknown, ------,21/01/1973,21,JAN,1973,1,unknown
SIS,SISTER  ,unknown ,1,AUG,01/08/1973,Hook's   ,unknown  ,Female  ,1973,unknown,unknown, ------,unknown,DD,MMM,YYYY,2,unknown
JAK,JAKE    ,Jane    ,25,AUG,25/08/1973,Alto's   ,unknown  ,Male    ,1973,JAN,unknown, ------,01/03/1973,1,MAR,1973,1,unknown
NAZ,NAZU    ,Preg    ,15,OCT,15/10/1973,Alto's   ,unknown  ,Female  ,1973,PRE,unknown, ------,21/04/1973,21,APR,1973,1,unknown
CET,CETE    ,Scar    ,10,DEC,10/12/1973,Alto's   ,unknown  ,Female  ,1973,SCA,unknown, ------,16/06/1973,16,JUN,1973,1,unknown
NOL,NOL     ,unknown ,1,MAR,01/03/1974,immigrant,unknown  ,Male    ,1974,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
DOB,DOBI    ,unknown ,1,JUL,01/07/1974,immigrant,unknown  ,Male    ,1974,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
STY,STYX    ,unknown ,1,JUL,01/07/1974,immigrant,unknown  ,Male    ,1974,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
MIK,MIKE    ,unknown ,1,JUL,01/07/1974,Lodge    ,unknown  ,Male    ,1974,unknown,unknown, ------,unknown,DD,MMM,YYYY,unknown,unknown
OLI,OLIVE   ,unknown ,11,AUG,11/08/1974,Ositeti  ,unknown  ,Female  ,1974,unknown,unknown, ------,unknown,DD,MMM,YYYY,unknown,unknown
LEO,LEONARD ,unknown ,11,SEP,11/09/1974,Stud's   ,unknown  ,Male    ,1974,unknown,unknown, ------,unknown,DD,MMM,YYYY,unknown,unknown
RAL,RALPH   ,unknown ,19,SEP,19/09/1974,Hook's   ,unknown  ,Male    ,1974,unknown,unknown, ------,unknown,DD,MMM,YYYY,2,unknown
TOM,TOM     ,Ttx     ,8,OCT,08/10/1974,Alto's   ,unknown  ,Male    ,1974,TTX,unknown, ------,14/04/1974,14,APR,1974,1,unknown
POO,POOH    ,Plum    ,31,OCT,31/10/1974,Alto's   ,unknown  ,Female  ,1974,PLU,unknown, ------,04/05/1974,4,MAY,1974,1,unknown
BEB,BEBE    ,Brush   ,7,NOV,07/11/1974,Alto's   ,unknown  ,Male    ,1974,BRU,unknown, ------,23/05/1974,23,MAY,1974,1,unknown
OZZ,OZZIE   ,Oval    ,24,DEC,24/12/1974,Alto's   ,unknown  ,Male    ,1974,OVA,unknown, ------,25/06/1974,25,JUN,1974,1,unknown
SOF,SOFTY   ,Mom     ,24,DEC,24/12/1974,Alto's   ,unknown  ,Female  ,1974,MOM,unknown, ------,25/06/1974,25,JUN,1974,1,unknown
FRE,FRED    ,Fem     ,1,JAN,01/01/1975,Alto's   ,unknown  ,Male    ,1975,FEM,unknown, ------,07/07/1974,7,JUL,1974,1,unknown
ALI,ALICE   ,Alto    ,1,JAN,01/01/1975,Alto's   ,unknown  ,Female  ,1975,ALT,unknown, ------,29/06/1974,29,JUN,1974,1,unknown
KAA,KAA     ,unknown ,1,JAN,01/01/1975,immigrant,unknown  ,Male    ,1975,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
MCC,MCCOY   ,unknown ,1,JAN,01/01/1975,immigrant,unknown  ,Male    ,1975,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
SHO,SHOMO   ,unknown ,1,JAN,01/01/1975,immigrant,unknown  ,Male    ,1975,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
BUN,BUNDA   ,Wobble  ,23,FEB,23/02/1975,Lodge    ,unknown  ,Female  ,1975,unknown,unknown, ------,unknown,DD,MMM,YYYY,unknown,unknown
JAD,JADU    ,unknown ,23,FEB,23/02/1975,Lodge    ,unknown  ,Female  ,1975,unknown,unknown, ------,unknown,DD,MMM,YYYY,unknown,unknown
MAL,MALI    ,unknown ,23,FEB,23/02/1975,Lodge    ,unknown  ,Female  ,1975,unknown,unknown, ------,unknown,DD,MMM,YYYY,unknown,unknown
NDO,NDOA    ,unknown ,23,FEB,23/02/1975,Lodge    ,unknown  ,Female  ,1975,unknown,unknown, ------,unknown,DD,MMM,YYYY,unknown,unknown
REM,REMBO   ,unknown ,23,FEB,23/02/1975,Lodge    ,unknown  ,Female  ,1975,unknown,unknown, ------,unknown,DD,MMM,YYYY,unknown,unknown
UMB,UMBO    ,unknown ,23,FEB,23/02/1975,Lodge    ,unknown  ,Female  ,1975,unknown,unknown, ------,unknown,DD,MMM,YYYY,unknown,unknown
CLE,CLEM    ,unknown ,1,MAR,01/03/1975,Olkenya  ,unknown  ,Male    ,1975,unknown,unknown, ------,unknown,DD,MMM,YYYY,unknown,unknown
WIN,WINTER  ,unknown ,23,MAR,23/03/1975,Hook's   ,unknown  ,Female  ,1975,unknown,unknown, ------,unknown,DD,MMM,YYYY,2,unknown
ENO,ENO     ,Este    ,22,APR,22/04/1975,Alto's   ,unknown  ,Female  ,1975,EST,unknown, ------,21/10/1974,21,OCT,1974,1,unknown
ISA,ISAAC   ,unknown ,21,MAY,21/05/1975,immigrant,unknown  ,Male    ,1975,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
SCR,SCREECH ,Slinky  ,29,JUN,29/06/1975,Alto's   ,unknown  ,Male    ,1975,SLI,unknown, ------,01/01/1975,1,JAN,1975,1,unknown
SUM,SUMMER  ,Scar    ,7,JUL,07/07/1975,Alto's   ,unknown  ,Female  ,1975,SCA,unknown, ------,08/01/1975,8,JAN,1975,1,unknown
PED,PEDRO   ,Preg    ,9,JUL,09/07/1975,Alto's   ,unknown  ,Male    ,1975,PRE,unknown, ------,17/01/1975,17,JAN,1975,1,unknown
MIS,MISTY   ,Mom     ,15,AUG,15/08/1975,Alto's   ,unknown  ,Female  ,1975,MOM,unknown, ------,16/02/1975,16,FEB,1975,1,unknown
BRI,BRISTLE ,Brush   ,17,AUG,17/08/1975,Alto's   ,unknown  ,Male    ,1975,BRU,unknown, ------,21/02/1975,21,FEB,1975,1,unknown
KIM,KIMBO   ,unknown ,22,AUG,22/08/1975,Stud's   ,unknown  ,Male    ,1975,unknown,unknown, ------,unknown,DD,MMM,YYYY,unknown,unknown
NUG,NUGU    ,unknown ,25,AUG,25/08/1975,immigrant,unknown  ,Male    ,1975,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
RAD,RADI    ,unknown ,21,SEP,21/09/1975,immigrant,unknown  ,Male    ,1975,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
HNS,HANS    ,Handle  ,15,OCT,15/10/1975,Alto's   ,unknown  ,Male    ,1975,HAN,unknown, ------,27/04/1975,27,APR,1975,1,unknown
NEE,NEENA   ,Lista   ,1,NOV,01/11/1975,Hook's   ,unknown  ,Female  ,1975,LIS,unknown, ------,07/05/1975,7,MAY,1975,2,unknown
PEN,PENNY   ,unknown ,20,DEC,20/12/1975,Hook's   ,unknown  ,Female  ,1975,unknown,unknown, ------,unknown,DD,MMM,YYYY,2,unknown
WIL,WILLY   ,unknown ,31,DEC,31/12/1975,Hook's   ,unknown  ,Female  ,1975,unknown,unknown, ------,unknown,DD,MMM,YYYY,2,unknown
RUD,RUDY    ,Ruka    ,1,JAN,01/01/1976,Hook's   ,unknown  ,Male    ,1976,RUK,unknown, ------,07/07/1975,7,JUL,1975,2,unknown
KIR,KIRK    ,unknown ,1,JAN,01/01/1976,immigrant,unknown  ,Male    ,1976,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
MAN,MANFRED ,Eta     ,20,JAN,20/01/1976,Hook's   ,unknown  ,Male    ,1976,ETA,unknown, ------,26/07/1975,26,JUL,1975,2,unknown
GRE,GRENDEL ,unknown ,27,JAN,27/01/1976,Alto's   ,unknown  ,Male    ,1976,unknown,unknown, ------,unknown,DD,MMM,YYYY,unknown,unknown
SES,SESAME  ,Slinky  ,2,FEB,02/02/1976,Alto's   ,unknown  ,Female  ,1976,SLI,unknown, ------,11/08/1975,11,AUG,1975,1,unknown
JUM,JUMA    ,Judy    ,28,FEB,28/02/1976,Alto's   ,unknown  ,Male    ,1976,JUD,unknown, ------,03/09/1975,3,SEP,1975,1,unknown
SAF,SAFI    ,Spot    ,2,MAR,02/03/1976,Alto's   ,unknown  ,Female  ,1976,SPO,unknown, ------,08/09/1975,8,SEP,1975,1,unknown
MOJ,MOJA    ,Nubbin  ,24,MAR,24/03/1976,Hook's   ,unknown  ,Female  ,1976,NUB,unknown, ------,28/09/1975,28,SEP,1975,2,unknown
MOS,MOSHI   ,Mom     ,1,JUN,01/06/1976,Alto's   ,unknown  ,Male    ,1976,MOM,unknown, ------,08/12/1975,8,DEC,1975,1,unknown
ORE,OREO    ,Oval    ,28,JUL,28/07/1976,Alto's   ,unknown  ,Female  ,1976,OVA,unknown, ------,29/01/1976,29,JAN,1976,1,unknown
MLI,MLINZI  ,unknown ,21,AUG,21/08/1976,immigrant,unknown  ,Male    ,1976,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
VIC,VICKI   ,Vee     ,4,OCT,04/10/1976,Alto's   ,unknown  ,Female  ,1976,VEE,unknown, ------,08/04/1976,8,APR,1976,1,unknown
PEA,PEACH   ,Plum    ,8,OCT,08/10/1976,Alto's   ,unknown  ,Female  ,1976,PLU,unknown, ------,17/04/1976,17,APR,1976,1,unknown
TAT,TATU    ,unknown ,11,OCT,11/10/1976,Hook's   ,unknown  ,Female  ,1976,unknown,unknown, ------,unknown,DD,MMM,YYYY,2,unknown
ELI,ELI     ,Este    ,13,JAN,13/01/1977,Alto's   ,unknown  ,Male    ,1977,EST,unknown, ------,14/07/1976,14,JUL,1976,1,unknown
